Order ID,Order Date,Customer ID,Product ID,Quantity,Customer Name,Email,Phone Number,Address Line 1,City,Country,Postcode,Loyalty Card,Coffee Type,Roast Type,Size,Unit Price,Profit,Weekday,Month,Year,Revenue,Total_Sold_Quantity
QEV-37451-860,2019-09-05,17670-51384-MA,R-M-1,2,Aloisia Allner,aallner0@lulu.com,+1 (862) 817-0124,57999 Pepper Wood Alley,Paterson,United States,7505,Yes,Robusta,Medium,1.0,9.95,0.597,Thursday,9,2019,19.9,2.0
QEV-37451-860,2019-09-05,17670-51384-MA,E-M-0.5,5,Aloisia Allner,aallner0@lulu.com,+1 (862) 817-0124,57999 Pepper Wood Alley,Paterson,United States,7505,Yes,Excelsa,Medium,0.5,8.25,0.9075,Thursday,9,2019,41.25,2.5
FAA-43335-268,2021-06-17,21125-22134-PX,A-L-1,1,Jami Redholes,jredholes2@tmall.com,+1 (210) 986-6806,5214 Bartillon Park,San Antonio,United States,78205,Yes,Arabica,Light,1.0,12.95,1.1655,Thursday,6,2021,12.95,1.0
KAC-83089-793,2021-07-15,23806-46781-OU,E-M-1,2,Christoffer O' Shea,,+353 (698) 362-9201,38980 Manitowish Junction,Cill Airne,Ireland,N41,No,Excelsa,Medium,1.0,13.75,1.5125,Thursday,7,2021,27.5,2.0
KAC-83089-793,2021-07-15,23806-46781-OU,R-L-2.5,2,Christoffer O' Shea,,+353 (698) 362-9201,38980 Manitowish Junction,Cill Airne,Ireland,N41,No,Robusta,Light,2.5,27.485,1.6490999999999998,Thursday,7,2021,54.96999999999999,5.0
CVP-18956-553,2021-08-04,86561-91660-RB,L-D-1,3,Beryle Cottier,,+1 (570) 289-7473,2651 Stoughton Place,Scranton,United States,18505,No,Liberica,Dark,1.0,12.95,1.6835,Wednesday,8,2021,38.85,3.0
IPP-31994-879,2022-01-21,65223-29612-CB,E-D-0.5,3,Shaylynn Lobe,slobe6@nifty.com,+1 (937) 954-4541,7005 Mariners Cove Place,Dayton,United States,45440,Yes,Excelsa,Dark,0.5,7.29,0.8019000000000001,Friday,1,2022,21.87,1.5
SNZ-65340-705,2022-05-20,21134-81676-FR,L-L-0.2,1,Melvin Wharfe,,+353 (507) 574-3034,7 Straubel Road,Kill,Ireland,P24,Yes,Liberica,Light,0.2,4.755,0.61815,Friday,5,2022,4.755,0.2
EZT-46571-659,2019-01-02,03396-68805-ZC,R-M-0.5,3,Guthrey Petracci,gpetracci8@livejournal.com,+1 (310) 868-1842,949 Paget Parkway,Los Angeles,United States,90045,No,Robusta,Medium,0.5,5.97,0.3581999999999999,Wednesday,1,2019,17.91,1.5
NWQ-70061-912,2019-09-05,61021-27840-ZN,R-M-0.5,1,Rodger Raven,rraven9@ed.gov,+1 (213) 263-0288,1 Reinke Avenue,Los Angeles,United States,90065,No,Robusta,Medium,0.5,5.97,0.3581999999999999,Thursday,9,2019,5.97,0.5
BKK-47233-845,2021-03-08,76239-90137-UQ,A-D-1,4,Ferrell Ferber,fferbera@businesswire.com,+1 (408) 383-5302,68 High Crossing Court,San Jose,United States,95160,No,Arabica,Dark,1.0,9.95,0.8954999999999999,Monday,3,2021,39.8,4.0
VQR-01002-970,2020-10-28,49315-21985-BB,E-L-2.5,5,Duky Phizackerly,dphizackerlyb@utexas.edu,+1 (408) 533-6012,28643 Bluejay Crossing,San Jose,United States,95194,Yes,Excelsa,Light,2.5,34.154999999999994,3.75705,Wednesday,10,2020,170.77499999999998,12.5
SZW-48378-399,2022-07-02,34136-36674-OM,R-M-1,5,Rosaleen Scholar,rscholarc@nyu.edu,+1 (804) 420-0420,80915 Montana Park,Richmond,United States,23285,No,Robusta,Medium,1.0,9.95,0.597,Saturday,7,2022,49.75,5.0
ITA-87418-783,2020-05-22,39396-12890-PE,R-D-2.5,2,Terence Vanyutin,tvanyutind@wix.com,,331 Bunting Hill,Migrate,United States,41905,No,Robusta,Dark,2.5,20.585,1.2351,Friday,5,2020,41.17,5.0
GNZ-46006-527,2022-04-05,95875-73336-RG,L-D-0.2,3,Patrice Trobe,ptrobee@wunderground.com,+1 (314) 240-7896,827 Declaration Plaza,Saint Louis,United States,63131,Yes,Liberica,Dark,0.2,3.885,0.50505,Tuesday,4,2022,11.655,0.6000000000000001
FYQ-78248-319,2022-06-07,25473-43727-BY,R-M-2.5,5,Llywellyn Oscroft,loscroftf@ebay.co.uk,,022 Roth Place,Philadelphia,United States,19172,No,Robusta,Medium,2.5,22.885,1.3730999999999998,Tuesday,6,2022,114.42499999999998,12.5
VAU-44387-624,2019-03-20,99643-51048-IQ,A-M-0.2,6,Minni Alabaster,malabasterg@hexun.com,+1 (971) 483-6255,3 Charing Cross Trail,Portland,United States,97271,No,Arabica,Medium,0.2,3.375,0.3037499999999999,Wednesday,3,2019,20.25,1.2000000000000002
RDW-33155-159,2019-10-19,62173-15287-CU,A-L-1,6,Rhianon Broxup,rbroxuph@jimdo.com,+1 (713) 663-1338,83517 Thierer Court,Houston,United States,77240,No,Arabica,Light,1.0,12.95,1.1655,Saturday,10,2019,77.69999999999999,6.0
TDZ-59011-211,2019-06-13,57611-05522-ST,R-D-2.5,4,Pall Redford,predfordi@ow.ly,,7337 Hayes Junction,Caherconlish,Ireland,F45,Yes,Robusta,Dark,2.5,20.585,1.2351,Thursday,6,2019,82.33999999999999,10.0
IDU-25793-399,2020-12-04,76664-37050-DT,A-M-0.2,5,Aurea Corradino,acorradinoj@harvard.edu,+1 (646) 202-5965,698 Canary Terrace,New York City,United States,10060,Yes,Arabica,Medium,0.2,3.375,0.3037499999999999,Friday,12,2020,16.875,1.0
IDU-25793-399,2020-12-04,76664-37050-DT,E-D-0.2,4,Aurea Corradino,acorradinoj@harvard.edu,+1 (646) 202-5965,698 Canary Terrace,New York City,United States,10060,Yes,Excelsa,Dark,0.2,3.645,0.40095,Friday,12,2020,14.58,0.8
NUO-20013-488,2020-12-04,03090-88267-BQ,A-D-0.2,6,Avrit Davidowsky,adavidowskyl@netvibes.com,+1 (616) 481-9962,9 Warrior Junction,Grand Rapids,United States,49560,No,Arabica,Dark,0.2,2.985,0.26865,Friday,12,2020,17.91,1.2000000000000002
UQU-65630-479,2021-01-22,37651-47492-NC,R-M-2.5,4,Annabel Antuk,aantukm@kickstarter.com,+1 (941) 740-6268,77965 Lawn Park,Punta Gorda,United States,33982,Yes,Robusta,Medium,2.5,22.885,1.3730999999999998,Friday,1,2021,91.54,10.0
FEO-11834-332,2022-02-11,95399-57205-HI,A-D-0.2,4,Iorgo Kleinert,ikleinertn@timesonline.co.uk,+1 (360) 352-6598,1 Morningstar Lane,Vancouver,United States,98682,Yes,Arabica,Dark,0.2,2.985,0.26865,Friday,2,2022,11.94,0.8
TKY-71558-096,2021-09-15,24010-66714-HW,A-M-1,1,Chrisy Blofeld,cblofeldo@amazon.co.uk,+1 (303) 936-3357,013 Talisman Terrace,Englewood,United States,80150,No,Arabica,Medium,1.0,11.25,1.0125,Wednesday,9,2021,11.25,1.0
OXY-65322-253,2020-10-24,07591-92789-UA,E-M-0.2,3,Culley Farris,,+1 (941) 267-4822,4 Mitchell Drive,Punta Gorda,United States,33982,Yes,Excelsa,Medium,0.2,4.125,0.45375,Saturday,10,2020,12.375,0.6000000000000001
EVP-43500-491,2019-02-20,49231-44455-IC,A-M-0.5,4,Selene Shales,sshalesq@umich.edu,+1 (707) 881-5004,74 Bultman Plaza,Petaluma,United States,94975,Yes,Arabica,Medium,0.5,6.75,0.6074999999999999,Wednesday,2,2019,27.0,2.0
WAG-26945-689,2019-10-08,50124-88608-EO,A-M-0.2,5,Vivie Danneil,vdanneilr@mtv.com,+353 (751) 346-0399,5626 Darwin Avenue,Tralee,Ireland,V92,No,Arabica,Medium,0.2,3.375,0.3037499999999999,Tuesday,10,2019,16.875,1.0
CHE-78995-767,2022-08-02,00888-74814-UZ,A-D-0.5,3,Theresita Newbury,tnewburys@usda.gov,+353 (803) 587-0026,79526 Bultman Lane,Clonskeagh,Ireland,D04,No,Arabica,Dark,0.5,5.97,0.5373,Tuesday,8,2022,17.91,1.5
